Number of all non-redundant significant rules 183.
Number of added sets 16574. Number of frequency evaluations 25830.
Number of explicitely tested rules at most tests=49531
Since measure was ln(p), ln(p*tests)=valM+ln(tests)=-63.27.
The best rules: (gamma=lift, delta=leverage)
32 -> ~7 fr=209 (0.3725), cf=1.000, gamma=1.382, delta=0.103, M=-8.906e+01
31 -> ~7 fr=209 (0.3725), cf=1.000, gamma=1.382, delta=0.103, M=-8.906e+01
9 18 -> 69 fr=291 (0.5187), cf=0.634, gamma=1.222, delta=0.094, M=-8.685e+01
3 4 68 -> 127 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
3 4 21 -> 127 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
4 7 69 -> 127 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
3 4 69 -> 127 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
3 4 68 -> 126 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
3 4 21 -> 126 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
4 7 69 -> 126 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
3 4 69 -> 126 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
3 21 68 69 -> 127 fr=33 (0.0588), cf=0.611, gamma=10.083, delta=0.053, M=-8.549e+01
3 21 68 69 -> 126 fr=33 (0.0588), cf=0.611, gamma=10.083, delta=0.053, M=-8.549e+01
69 -> ~2 fr=291 (0.5187), cf=1.000, gamma=1.214, delta=0.092, M=-8.386e+01
69 -> 18 fr=291 (0.5187), cf=1.000, gamma=1.214, delta=0.092, M=-8.386e+01
4 7 18 -> 127 fr=29 (0.0517), cf=0.806, gamma=13.292, delta=0.048, M=-8.316e+01
4 7 18 -> 126 fr=29 (0.0517), cf=0.806, gamma=13.292, delta=0.048, M=-8.316e+01
7 21 68 -> ~13 fr=39 (0.0695), cf=0.975, gamma=6.837, delta=0.059, M=-8.226e+01
4 21 69 -> 127 fr=29 (0.0517), cf=0.784, gamma=12.932, delta=0.048, M=-8.164e+01
4 21 69 -> 126 fr=29 (0.0517), cf=0.784, gamma=12.932, delta=0.048, M=-8.164e+01
21 68 69 -> 127 fr=33 (0.0588), cf=0.559, gamma=9.229, delta=0.052, M=-8.117e+01
21 68 69 -> 126 fr=33 (0.0588), cf=0.559, gamma=9.229, delta=0.052, M=-8.117e+01
3 18 21 68 -> 127 fr=33 (0.0588), cf=0.559, gamma=9.229, delta=0.052, M=-8.117e+01
3 18 21 68 -> 126 fr=33 (0.0588), cf=0.559, gamma=9.229, delta=0.052, M=-8.117e+01
3 21 68 -> 127 fr=33 (0.0588), cf=0.550, gamma=9.075, delta=0.052, M=-8.037e+01
3 21 68 -> 126 fr=33 (0.0588), cf=0.550, gamma=9.075, delta=0.052, M=-8.037e+01
4 7 -> 127 fr=29 (0.0517), cf=0.763, gamma=12.592, delta=0.048, M=-8.021e+01
4 7 -> 126 fr=29 (0.0517), cf=0.763, gamma=12.592, delta=0.048, M=-8.021e+01
4 68 69 -> 127 fr=29 (0.0517), cf=0.763, gamma=12.592, delta=0.048, M=-8.021e+01
